ID,TAG,NAME,E_NAME,SYM,COL,CAMP,NUM,RACE1,RACE2,SEX,CLASS,PATRON,CHARA,RELM1,RELM2,LEV,RARE,SPELL,EXP,N_EXP,N_MIN,AGE,SC,WEALTH,FATHER,MOTHER,DV,SP,VIS,AC,EV,VO,ALERT,STR,INT,WIS,DEX,CON,CHA,BONUS,M_HB,M_HM,M_WB,M_WM,F_HB,F_HM,F_WB,F_WM,HAND,RING,AMULET,BODY,OUTER,HEAD,ARMS,FEET,TAIL,SP_MELEE,BATTLE,UNDERLING,ARTIFACT,FLAG,AUTHORITY,DESCRIPTION,E_DESCRIPTION,COMMENT,,,,
1189,1189,貧乏な『ハーク』,Hurk the Poor,o,D,0,-1,ORC,ORC,0x02,TOURIST,NONE,ORDINARY,ARCANE,NONE,8,1,50,356,0,0,88,9,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,198,0,760,0,184,0,670,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1190,1190,みじめな『ソアリン』,Soalin the Wretched,z,D,0,-1,HUMAN,HUMAN,0x02,TOURIST,NONE,ORDINARY,ARCANE,NONE,1,1,50,11,0,0,23,0,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|ZOMBIE,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1191,1191,質素な『メルラ』,Merulla the Humble,h,D,0,-1,ELF,ELF,0x01,TOURIST,NONE,ORDINARY,ARCANE,NONE,4,1,50,214,0,0,35,0,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1192,1192,醜悪『コン=ダー』,Kon-Dar the Ugly,o,U,0,-1,ORC,ORC,0x02,SMITH,NONE,ORDINARY,NONE,NONE,17,1,50,4667,0,0,22,0,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1193,1193,頑固者『ダーグ=ロウ』,Darg-Low the Grim,p,U,0,-1,HUMAN,HUMAN,0x02,SMITH,NONE,ORDINARY,NONE,NONE,11,1,50,1009,0,0,34,0,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1194,1194,賢者『デカド』,Decado the Wiseman,p,U,0,-1,DUNADAN,DUNADAN,0x02,SMITH,NONE,PATIENT,NONE,NONE,42,12,50,54413,0,0,131,77,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,198,0,960,0,187,0,820,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1195,1195,鍛冶屋『ウィーランド』,Wieland the Smith,h,U,0,-1,DWARF,DWARF,0x02,SMITH,NONE,ORDINARY,NONE,NONE,22,1,50,13301,0,0,244,56,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,132,0,540,9,123,0,440,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1196,1196,斬り込み『ラーヅ』,Attacker Lurzs,o,U,0,-1,URUK,URUK,0x02,SMITH,NONE,ORDINARY,NONE,NONE,26,1,50,34221,0,0,989,65,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,221,0,1420,0,204,0,1230,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 新規追加した市民クリーチャー。映画版LoTRのウルクの名から拝借。,,,,
1197,1197,皮肉屋『バッチェス』,Bachez the Cynic,p,U,0,-1,MELNIBONE,MELNIBONE,0x02,SMITH,NONE,ORDINARY,NONE,NONE,15,1,50,1331,0,0,48,0,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 新規追加した市民クリーチャー。,,,,
1198,1198,ハンサムな『ヴィンセント』,Vincent the Handsome,p,U,0,-1,AMBERITE,AMBERITE,0x02,SMITH,859,LUCKY,NONE,NONE,92,7,50,14670000,0,0,1331,57,200,NONE,NONE,22,0,10,0,0,0,255,12,7,9,12,13,9,5,177,0,650,0,169,0,600,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,ORDER_3,,,D'ang# 新規追加した市民クリーチャー。元ネタキャサリン。,,,,
1199,1199,『エロー・ドラゴンスケイル』,Elo Dragonscale,h,U,0,-1,ELF,ELF,0x01,SMITH,NONE,ORDINARY,NONE,NONE,20,1,50,7612,0,0,156,21,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1200,1200,『デリカトス』,Delicatus,p,U,0,-1,SPRITE,SPRITE,0x02,SMITH,NONE,ORDINARY,NONE,NONE,6,1,50,45,0,0,16,0,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1201,1201,巨大な『グルース』,Gruce the Huge,P,U,0,-1,GIANT,GIANT,0x02,SMITH,NONE,ORDINARY,NONE,NONE,16,1,50,1234,0,0,56,0,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1202,1202,『アニムス』,Animus,p,U,0,-1,HUMAN,HUMAN,0x01,SMITH,NONE,ORDINARY,NONE,NONE,13,1,50,1056,0,0,6,0,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|GOLEM|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1203,1203,『マルヴァス』,Malvus,P,U,0,-1,HUMAN,TITAN,0x01,SMITH,NONE,ORDINARY,NONE,NONE,73,1,50,9988711,0,0,1053,0,200,NONE,NONE,7,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1204,1204,『セラクシス』,Selaxis,z,U,0,-1,HUMAN,HUMAN,0x01,SMITH,NONE,ORDINARY,NONE,NONE,10,1,50,498,0,0,35,0,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|ZOMBIE,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1205,1205,『デス・チル』,Deathchill,p,U,0,-1,HUMAN,HUMAN,0x02,SMITH,NONE,ORDINARY,NONE,NONE,16,1,50,4311,0,0,56,0,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|LICH,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1206,1206,微かな『ドリオス』,Drios the Faint,p,U,0,-1,HUMAN,HUMAN,0x02,SMITH,NONE,ORDINARY,NONE,NONE,11,1,50,984,0,0,89,0,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|LICH,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1207,1207,冷たい『バスリック』,Bathric the Cold,V,U,0,-1,HUMAN,HUMAN,0x02,SMITH,NONE,ORDINARY,NONE,NONE,20,1,50,8771,0,0,103,0,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|VAMPIRE,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1208,1208,冷酷『ヴェンジェラ』,Vengella the Cruel,T,U,0,-1,TROLL,TROLL,0x01,SMITH,NONE,ORDINARY,NONE,NONE,38,1,50,44210,0,0,127,0,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1209,1209,強者『ウィラナ』,Wyrana the Mighty,p,U,0,-1,HUMAN,HUMAN,0x01,SMITH,NONE,ORDINARY,NONE,NONE,34,1,50,31178,0,0,31,0,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1210,1210,『ヨジョ二世』,Yojo II,h,U,0,-1,DWARF,DWARF,0x02,SMITH,NONE,ORDINARY,NONE,NONE,26,1,50,29988,0,0,78,0,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1211,1211,優しい『ラナラー』,Ranalar the Sweet,p,U,0,-1,AMBERITE,AMBERITE,0x02,SMITH,859,ORDINARY,NONE,NONE,92,7,50,16320000,0,0,2012,43,200,NONE,NONE,22,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,ORDER_3,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1212,1212,不浄の『ホルバグ』,Horbag the Unclean,o,U,0,-1,ORC,URUK,0x02,SMITH,NONE,ORDINARY,NONE,NONE,47,1,50,76151,0,0,145,56,200,NONE,NONE,1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1213,1213,テレパスの『エレレン』,Elelen the Telepath,h,U,0,-1,DARK_ELF,AVARI,0x01,SMITH,NONE,ORDINARY,NONE,NONE,37,1,50,37661,0,0,215,45,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1214,1214,『イスドリリアス』,Isedrelias,p,U,0,-1,SPRITE,SPRITE,0x02,SMITH,NONE,ORDINARY,NONE,NONE,22,1,50,8987,0,0,34,0,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1215,1215,一つ目『ヴェグナー』,Vegnar One-eye,P,U,0,-1,CYCLOPS,DEMON,0x02,SMITH,NONE,ORDINARY,NONE,NONE,53,1,50,112887,0,0,567,71,200,NONE,NONE,1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1216,1216,混沌の『ロディッシュ』,Rodish the Chaotic,H,g,0,-1,BEASTMAN,BEASTMAN,0x02,SMITH,NONE,ORDINARY,NONE,NONE,58,1,50,245551,0,0,45,0,200,NONE,NONE,3,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1217,1217,剣豪『ヘジン』,Hesin Swordmaster,h,D,0,-1,NIBELUNG,NIBELUNG,0x02,SMITH,NONE,ORDINARY,NONE,NONE,21,1,50,9826,0,0,67,0,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1218,1218,ずる屋の『エルベレリス』,Elvererith the Cheat,h,U,0,-1,DARK_ELF,DARK_ELF,0x01,SMITH,NONE,ORDINARY,NONE,NONE,18,1,50,3712,0,0,238,0,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1219,1219,インプの『ザサス』,Zzathath the Imp,u,U,0,-1,IMP,IMP,0x02,SMITH,NONE,ORDINARY,NONE,NONE,27,1,50,10938,0,0,44,0,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1220,1220,『ド＝ナ＝ルウ』,Do-Na-Luu,y,U,0,-1,YEEK,YEEK,0x01,SMITH,NONE,ORDINARY,NONE,NONE,11,1,50,761,0,0,34,0,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 新規追加した市民クリーチャー。,,,,
1221,1221,流水の『カンテス』,Kantes the Running Water,p,U,0,-1,MARFOLK,MARFOLK,0x02,SMITH,NONE,ORDINARY,NONE,NONE,18,1,50,4003,0,0,23,0,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 新規追加した市民クリーチャー。,,,,
1222,1222,石肌『ボーズ』,Bors the Stone Skin,p,U,0,-1,OLOG,OLOG,0x02,SMITH,NONE,ORDINARY,NONE,NONE,50,1,50,78174,0,0,871,0,200,NONE,NONE,0,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 新規追加した市民クリーチャー。,,,,
1223,1223,頭痛持ちの『ウャ＝ワ＝リクゥ』,Migrainer Uwa-Lya-Rikq,p,g,0,-1,ELDER_ONE,ELDER_ONE,0x00,SMITH,NONE,ORDINARY,NONE,NONE,39,1,50,56733,0,0,887761,0,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 新規追加した市民クリーチャー。,,,,
1224,1224,残忍なる『アーノルド』,Arnold the Beastly,T,U,0,-1,TROLL,OLOG,0x02,SMITH,NONE,ORDINARY,NONE,NONE,38,1,50,24761,0,0,143,0,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1225,1225,獣殺しの『アーンダル』,Arndal Beast-Slayer,h,U,0,-1,ELF,ELF,0x02,SMITH,NONE,ORDINARY,NONE,NONE,26,1,50,10941,0,0,76,0,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1226,1226,獣マスターの『エディー』,Eddie Beast-Master,h,U,0,-1,HOBBIT,HOBBIT,0x02,SMITH,NONE,ORDINARY,NONE,NONE,22,1,50,7651,0,0,56,0,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1227,1227,竜殺しの『オグライン』,Oglign Dragon-Slayer,h,U,0,-1,DWARF,DWARF,0x02,SMITH,NONE,ORDINARY,NONE,NONE,51,1,50,99007,0,0,104,0,200,NONE,NONE,1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1228,1228,熟練者『ドリュー』,Drew the Skilled,p,g,0,-1,HUMAN,HUMAN,0x02,SMITH,NONE,ORDINARY,NONE,NONE,32,1,50,26651,0,0,40,0,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1229,1229,龍の子『オラックス』,Orrax Dragonson,p,U,0,-1,HUMAN,DRAGON,0x02,SMITH,NONE,ORDINARY,NONE,NONE,39,1,50,42510,0,0,34,0,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1230,1230,病気持ちの『アンスラックス』,Anthrax Disease-Carrier,H,g,0,-1,BEASTMAN,BEASTMAN,0x02,SMITH,NONE,ORDINARY,NONE,NONE,52,1,50,87762,0,0,106,0,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1231,1231,頑丈者『アルコス』,Arkhoth the Stout,h,U,0,-1,DWARF,DWARF,0x02,SMITH,NONE,ORDINARY,NONE,NONE,21,1,50,7610,0,0,66,0,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
1232,1232,腐れ者の『サリアス』,Sarlyas the Rotten,z,g,0,-1,HUMAN,HUMAN,0x02,SMITH,NONE,ORDINARY,NONE,NONE,12,1,50,876,0,0,109,0,200,NONE,NONE,-1,0,10,0,0,0,255,12,7,9,12,13,9,5,165,10,540,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
HIT:HURT:1d6",,,UNIQUE|CITIZEN|ZOMBIE,,,,D'ang# 変愚までの店主をクリーチャーデータ化して独自設定を加えたもの。,,,,
